,y,x,mass,size,ecc,signal,raw_mass,ep,frame,particle
0,91.09174041297935,342.69188790560474,2359.3164164030854,2.571198542878915,0.02085729139819382,71.68424510015274,-28966.0,0.065862163426317,0,0
1,133.74268227780735,1043.8980840872805,2615.4310008385823,2.5008247708159743,0.04491805203042669,85.95149776571712,-30419.0,0.08398614044048659,0,1
2,194.26492482849218,263.7658735950956,2384.0231222385746,2.580678915266045,0.032487313773022046,71.68424510015274,-28235.0,0.05941198532275795,0,2
3,228.76329651656755,160.27068819031436,2047.8727301669846,2.56073215953235,0.030511950208673536,62.63671901955094,-25099.0,0.041835291406937127,0,3
4,263.1436131825836,501.78265576136636,2893.1204551585915,2.5508775322913126,0.031189010637596538,88.73535194436383,-32808.0,0.1533845922779151,0,4
5,542.1181216717766,292.22236566080363,2156.443043134206,2.5279461105492125,0.03383882020552745,68.90039092150603,-26935.0,0.050599335676793485,0,5
6,573.9319877883311,1211.8200474898235,2051.700529662624,2.5662193363967565,0.042102165876544764,64.02864610887428,-24194.0,0.03854451597467258,0,6
7,590.7754930759547,1108.5458106028816,2487.721690393165,2.609552376040987,0.03525159974738841,79.68782586376203,-26412.0,0.04774987285001748,0,7
8,618.737573198965,568.6765627127877,2555.230154225347,2.5788399255418786,0.030980421219758723,78.29589877443867,-30375.0,0.08329206258346455,0,8
9,639.5683366733467,577.9954575818304,2604.6435658963264,2.613259443013584,0.030176577665336178,80.3837894084237,-29922.0,0.07676096022961662,0,9
19,639.631421174547,577.907208066494,2586.814112302728,2.5757894663280827,0.026821389980390964,79.30687767653819,-29952.0,0.03855329093109427,1,9
18,618.7953047775948,568.590197693575,2567.427986648463,2.6174760113440505,0.04841870194460182,78.95440266464246,-30320.0,0.04135836775502599,1,8
17,590.7977655211427,1108.4764531183707,2492.3508091146737,2.5962179992968077,0.03241461408472613,79.30687767653819,-26439.0,0.02340168154423161,1,7
15,542.0887554762292,292.2221320785332,2172.303498313355,2.529911920244016,0.038372553736419054,69.79005235535361,-26882.0,0.02462192027977977,1,5
16,573.9355897081679,1211.7848385425661,2041.1827938881452,2.5643505275300247,0.039564649913128795,63.797977153126276,-24090.0,0.018531787710392815,1,6
13,228.76695501730103,160.26955017301037,2037.3055687572921,2.55401847695408,0.027804248310988714,63.445502141230556,-25137.0,0.02042643642707745,1,3
12,194.25597168976702,263.7391624889413,2390.485530676809,2.58431970654189,0.032712082727424444,71.90490242672796,-28243.0,0.029318656970771892,1,2
11,133.7134252442779,1043.9302636862535,2633.3408138729637,2.4963096842915076,0.039611011928523614,86.3563779144527,-30350.0,0.041605144239127985,1,1
10,91.08875651526434,342.67788533134774,2366.8697048797953,2.573158892591499,0.026326301791585335,71.55242741483224,-28885.0,0.03221763447549282,1,0
14,263.1401142301616,501.75732166727425,2900.5168728899234,2.549926788233218,0.03754483794660393,89.88112803340995,-32881.0,0.08377961326091536,1,4
29,639.6459829291424,577.8729169489229,2589.510841615717,2.5745884375069292,0.026062609211122367,79.63947446779132,-29950.0,0.005261045406706338,2,9
28,618.8147232523005,568.5688779013872,2554.4273726871743,2.609634247905696,0.04426230626731354,78.93780508922048,-30332.0,0.0055951263085784195,2,8
27,590.7896063874492,1108.513377223701,2504.608846808644,2.6025944149544173,0.034954889283091595,79.2886397785059,-26409.0,0.003386612707637333,2,7
26,573.8774116441864,1211.8354106197712,2054.8387751447303,2.5695050408645184,0.037551909916923934,63.15024407137638,-24073.0,0.00274210418452408,2,6
25,542.0747678775044,292.23652060596186,2153.77415752322,2.5233556365185414,0.038631033182360004,69.46526847851402,-26968.0,0.003588444667220396,2,5
24,263.1609447285123,501.7354516678841,2881.7561377904753,2.5472644392938983,0.031189680664265147,89.11201107849777,-32896.0,0.009751351471841118,2,4
22,194.29997051886792,263.7648879716981,2380.0625321123184,2.5894948330834797,0.03249022450447958,71.92111130351198,-28303.0,0.004183941513670122,2,2
21,133.69558803808502,1043.9542711546198,2616.174278001409,2.5005028326288654,0.042730153236433276,86.30533356421438,-30404.0,0.005662904183215453,2,1
20,91.11987568447536,342.6935030338908,2370.589995501612,2.5652070305657695,0.020962712211034032,72.27194599279741,-28980.0,0.004568395443646326,2,0
23,228.80078794107573,160.29136690647482,2048.1729160483073,2.5562530389571765,0.02729314467468914,62.79940938209095,-25134.0,0.0030015530005325264,2,3
37,590.7619516310461,1108.5419010123735,2488.3039890655623,2.6136969408364243,0.034444392287562436,78.02190516895675,-26430.0,0.06277384533553158,3,7
39,639.6398918187965,577.8500338066261,2587.318335087153,2.573437939067881,0.026223269889472517,79.77127524000959,-29930.0,0.1132641265430142,3,9
38,618.8030752630159,568.5473428648503,2593.965941357154,2.5982189745598063,0.033017040213693234,78.72165319737788,-30273.0,0.12295593031107054,3,8
35,542.1078079059131,292.2726233257105,2141.9287149970996,2.5227808844702855,0.03713505910784599,69.27505481369253,-26977.0,0.06747468637852368,3,5
36,573.8702211554946,1211.9159951997258,2040.8151248902452,2.559191272480643,0.03337088206473093,63.67707058632344,-24115.0,0.048479697698512396,3,6
33,228.83149312043486,160.36724987260064,2059.708321657616,2.558770725753812,0.027978876484921953,64.02694460053401,-25100.0,0.05368064549931125,3,3
30,91.1168175745881,342.68353866706246,2357.101233736599,2.569416267456442,0.02184500610060625,71.72417291316651,-28980.0,0.09296781036535438,3,0
31,133.66266684643386,1043.9618444114872,2595.0155633997856,2.502769128378324,0.039643673043523446,85.01938545316811,-30471.0,0.12934492760843097,3,1
34,263.16166003136686,501.7522017131138,2900.105703791401,2.553375204834387,0.03471752524867753,89.21787362369493,-32847.0,0.34358232600343414,3,4
32,194.30813694975544,263.7630057803468,2360.5999738787045,2.5880091984161124,0.03297894497619088,71.02442488474537,-28293.0,0.08230255433780183,3,2
40,91.12581312832643,342.6920461265523,2366.057435402,2.568401905872347,0.02513699310251457,72.75871474920402,-29015.0,0.013565916876659256,4,0
41,133.66675675675677,1043.945945945946,2588.53119780822,2.502161227980885,0.042790748733373775,85.00176771181047,-30475.0,0.016881074649460398,4,1
42,194.32221402214023,263.7920295202952,2369.9052520473906,2.5883075152226276,0.028954517069044068,71.00970718311738,-28330.0,0.012421423711016795,4,2
43,228.79481456043956,160.43389423076923,2037.2440129777126,2.6017745423519636,0.04020406460477221,62.61447086590154,-25180.0,0.00894942723595335,4,3
45,542.0858263854831,292.2409677946706,2139.7358563503894,2.5197276243603244,0.03800583725677829,69.61050113024808,-26928.0,0.010592412457865939,4,5
46,573.890059473237,1211.9216652506373,2058.5819052839697,2.57079869832776,0.03231191747233636,63.31407389233619,-24174.0,0.008216001979535429,4,6
47,590.7669533342732,1108.5566051036233,2481.1421332505006,2.5938468981966465,0.03218000580132378,78.70534047389859,-26416.0,0.010051888898136779,4,7
48,618.778917145201,568.5184577522559,2558.4482676715297,2.5969576866290383,0.03584291128712275,78.35553896068126,-30355.0,0.016548685421388938,4,8
49,639.6061381074169,577.8294521469916,2598.6754416915223,2.5902215240034887,0.02368866549263185,79.40494350033323,-29958.0,0.015536611099435113,4,9
44,263.1513125911522,501.7158483228002,2878.1668507521667,2.546385429480213,0.03482930487116241,89.1993858704184,-32876.0,0.02822346919512555,4,4
59,639.5818424566088,577.8523364485982,2596.6249245353374,2.6170336554079796,0.03704631981499308,80.42950367052046,-29967.0,0.022527525056827435,5,9
55,542.112269446672,292.1626303127506,2161.5429111452377,2.524681691291324,0.034964821122291406,68.9891001311792,-26961.0,0.015250149053300037,5,5
58,618.7599083310865,568.5502830951739,2571.6640440858655,2.5916211923083354,0.034256416709914986,79.38946698512581,-30360.0,0.02402650161040117,5,8
57,590.773503077784,1108.5316172355904,2478.060742400346,2.5996911271055696,0.030395377060482173,78.34943029973114,-26426.0,0.01442102002800296,5,7
56,573.9082693947144,1211.789769820972,2033.2717199465626,2.559338416218096,0.03701207650482086,63.09555891394278,-24146.0,0.011708208901982495,5,6
54,263.16030902945437,501.71221632061804,2871.8879672697913,2.5523017702482518,0.034212025490623625,88.4031182585462,-32920.0,0.04240767533651884,5,4
52,194.32616959064327,263.7681286549708,2371.2836426998274,2.5903272614936954,0.034907584020767525,71.41585239710007,-28326.0,0.01787178893341695,5,2
51,133.6974071103983,1043.9469393210372,2593.851493374285,2.5000133653745915,0.043174733316406574,84.93632930723066,-30438.0,0.02434805094297755,5,1
50,91.10226112326768,342.6590809628009,2376.483826126801,2.566575253897078,0.02501307411124647,72.45588908249474,-29005.0,0.019542983162046588,5,0
53,228.81024860476916,160.42770167427702,2049.9123069128773,2.60188954222129,0.0435990158869511,63.442237809074335,-25172.0,0.012790988870681965,5,3
69,639.5801547079221,577.907708722326,2597.88154217744,2.6194076325940916,0.03280173437445273,79.68961785820369,-29985.0,0.0,6,9
68,618.7525129041021,568.5789187720728,2550.7607246612847,2.589972932973309,0.03253609285020431,77.95723486128621,-30356.0,0.0,6,8
67,590.7872607906132,1108.516552591144,2480.4259749864354,2.597827538559974,0.03294799437724594,78.6501880600532,-26501.0,0.0,6,7
66,573.8908016877638,1211.7800843881857,2052.8738513472035,2.563028272191049,0.04083111273248573,63.751694286562945,-24164.0,0.0,6,6
65,542.0826379974326,292.1726572528883,2159.2421673579365,2.526591568708841,0.034503214999855404,69.29531987669885,-26913.0,0.0,6,5
64,263.17493975903614,501.70361445783135,2875.7557748830027,2.5579547552919073,0.03662195079703385,88.35153284279104,-32906.0,0.0,6,4
62,194.30834928581947,263.7389191577087,2352.9225864133095,2.583917729907162,0.03631022569889829,71.37417947299983,-28360.0,0.0,6,2
61,133.67851394849785,1043.9565450643777,2583.3295250033334,2.503243603961175,0.042981973552846504,85.23324344833959,-30492.0,0.0,6,1
60,91.12198351971747,342.6324308416716,2354.6549694102273,2.572120411989456,0.023570468470233672,71.72065607238332,-29023.0,0.0,6,0
63,228.80027430138864,160.39807989027943,2020.9980042039222,2.5687528768572543,0.0335332994712591,62.36578788902897,-25155.0,0.0,6,3
77,590.76301716859,1108.5388404165494,2486.9794155026425,2.60984410204572,0.03776012143395226,79.44614794808611,-26497.0,0.014303506095160257,7,7
79,639.5892377885132,577.9248523886205,2608.0735440931176,2.61573236856141,0.037076187499253246,80.84608007051933,-29949.0,0.022190545025907563,7,9
78,618.7556896078969,568.6154373457637,2552.7762252570046,2.586401128579265,0.03136449478603196,78.04621582565287,-30356.0,0.023733513820846604,7,8
75,542.0727096461463,292.2053643561157,2166.044976434823,2.518472711552906,0.0415821594454742,69.99660612166177,-26887.0,0.014901891844810828,7,5
76,573.83264604811,1211.816323024055,2036.9012381403575,2.5587596329289175,0.03663619144010662,63.69691157071221,-24182.0,0.011550398463036831,7,6
73,228.7910370879121,160.36864697802199,2038.3011702627907,2.5665590339451136,0.033571134364095714,62.99694550949559,-25115.0,0.01252174983130083,7,3
70,91.1408160259243,342.66696126086316,2376.0347947998084,2.5670275191909027,0.02489604556196812,73.49643642774485,-28991.0,0.019245479646123314,7,0
71,133.68621898597627,1043.942826321467,2595.4741549912183,2.5011054729537627,0.04355573497041034,85.74584249903566,-30441.0,0.02408324037653521,7,1
74,263.1629864584604,501.73075515432475,2868.8109018963073,2.546696975961889,0.03609944266691661,89.24567280511876,-32894.0,0.041902176674144184,7,4
72,194.294640213207,263.79834172342316,2363.785388728518,2.5769760279488514,0.03553582810719156,71.74652127470331,-28312.0,0.01759078989160817,7,2
80,91.15485486960365,342.65595992338297,2371.6139846248407,2.5701302439852327,0.022789761157810007,72.33300350925917,-28987.0,0.0,8,0
81,133.69737726967048,1043.9265635507734,2598.0477347407823,2.508304968110218,0.03751785311673327,84.91265629347816,-30401.0,0.0,8,1
82,194.28814304558114,263.7760515902096,2384.1936374090596,2.585033418012415,0.02911374170582307,71.6341339101359,-28324.0,0.0,8,2
83,228.76222802436902,160.37441253263708,2007.5029234816132,2.5702658069814217,0.03210208435721863,61.84995952241002,-25172.0,0.0,8,3
84,263.1511246200608,501.7365349544073,2874.1012263944767,2.5505467558543975,0.03338706279437061,88.75643908865618,-32887.0,0.0,8,4
85,542.1035992217899,292.2188715953307,2155.3138436961863,2.525903416095888,0.037015853066167476,68.83865551364279,-26949.0,0.0,8,5
