,y,x,mass,size,ecc,signal,raw_mass,ep,frame,particle
20,111.07711776090517,374.31651034688105,2410.4002682844666,2.5524715302251257,0.036271481167722726,74.99979992131212,-29888.0,0.02207274670523845,2,0
24,252.04688861774446,147.20289349834408,2058.7265653041513,2.5344411645831286,0.039402696329042926,66.38738270546767,-24719.0,0.010547903419724131,2,10
37,531.7517767377361,1247.3506673600277,2050.6330606532783,2.572876105513991,0.03207024702987393,64.69322534908939,-23553.0,0.014863016192439083,3,5
41,678.0438144329897,518.0078751431844,2482.5136584507704,2.569509070113877,0.03417823852569491,76.42331565963856,-28486.0,0.02444032420886468,3,9
40,616.8683254123567,512.1759854626782,2542.941396414206,2.5599056891350247,0.0450754042183231,78.20060207032783,-29823.0,0.029611902541899885,3,8
38,537.7274643320363,1177.3519779507133,2192.460516226282,2.5558609941721167,0.038384237200912365,70.02508458115719,-25737.0,0.017982894090345793,3,6
36,490.831996945399,1051.9488354333714,2792.827865757117,2.57087395608044,0.032799301824789344,86.02066227736061,-29250.0,0.027149800740836134,3,4
39,553.3270759343819,282.6798579401319,2101.8189092811294,2.556944893996589,0.035869390605541535,65.40413991336509,-26550.0,0.019507167110016644,3,7
34,248.05191355788966,513.1983580828203,2944.252667947843,2.54380907820204,0.028290928376972398,90.28614966301485,-32714.0,0.05458857583661779,3,3
31,110.97604790419162,373.22911320216707,2493.1773769149063,2.5375143712870214,0.048853758876839855,78.55605935246568,-29792.0,0.029467329535911854,3,0
32,124.80339307702832,1038.9645642358737,2598.037275145573,2.492786144252975,0.030055945420348715,84.95429043094705,-30332.0,0.032206344464372774,3,1
35,252.0291958041958,147.00664335664337,2033.2156538285235,2.5433651514688753,0.019683876311521076,62.56048165626226,-24810.0,0.016511763562296316,3,10
33,232.16460454189507,216.40172278778385,2269.5947464501965,2.6193963569614582,0.04996590652844851,70.02508458115719,-27027.0,0.020528056879736523,3,2
52,678.0626253940957,518.0206362854686,2502.889059487064,2.5759598077077537,0.03489153326387078,76.39945108494479,-28401.0,0.036935567018307344,4,9
51,616.8861274922774,512.1776186464476,2554.539392614914,2.5540492652916167,0.046497028479408016,78.9102311675486,-29771.0,0.04565295015126416,4,8
50,553.4161062252113,282.6364890498362,2080.0019570027926,2.5696371350903853,0.03999499342269215,64.92159927875589,-26579.0,0.02945541755828675,4,7
48,531.7908964073945,1247.2490408092083,2056.687570521471,2.5454706829108096,0.02817308173357909,65.9976478855861,-23541.0,0.022019784286227275,4,5
49,537.7584752635847,1177.2942416869423,2211.279887036078,2.542198600154547,0.032031076323555834,71.01920805079374,-25757.0,0.026989472758902122,4,6
45,248.02382115807475,513.2621548986074,2936.1779651706947,2.5430810403171047,0.03111186591996128,91.4641315805677,-32760.0,0.09411586906798564,4,3
44,232.21035957547917,216.35735783304293,2264.3649516397013,2.579329056386239,0.04088580890047609,69.94315944396354,-26950.0,0.030722325711778263,4,2
43,124.81087373322377,1038.940153382635,2619.1023090247268,2.5000684734528553,0.034477378902468055,85.72520567747326,-30272.0,0.049965441656966765,4,1
42,110.9556579326231,373.3442268931759,2491.4112076808756,2.549227397171104,0.042891920166256085,78.9102311675486,-29786.0,0.04577122832838924,4,0
46,252.09001607429897,146.94231112698697,2008.2653832141118,2.545145160184049,0.021106358828548524,62.05213632720867,-24783.0,0.024553774073372607,4,10
47,490.88192213799306,1051.9420531928563,2791.6287689865035,2.5623410534434394,0.030757665602556425,86.08388854641666,-29269.0,0.042019067307799335,4,4
59,531.8125970664366,1247.2669542709232,2075.738406340835,2.5611082049131606,0.02739582906229597,64.83324444308734,-23485.0,0.09690585252720708,5,5
63,678.1215382407806,517.9885205911895,2496.2590084192025,2.5737786126001874,0.030665521269852825,75.93728078416859,-28451.0,0.19730526495525308,5,9
62,616.9331362612612,512.1475225225225,2544.615295711008,2.5578057970642525,0.04106029858235475,78.08644910824884,-29731.0,0.269191505175771,5,8
61,553.3652960245691,282.6862310185975,2099.3792579057176,2.559578428861397,0.03416914588703195,65.19143916376738,-26515.0,0.14054027164945598,5,7
60,537.7856117403095,1177.2773967139894,2245.5227039431743,2.5403742550809576,0.037940902012101874,73.07172301872828,-25641.0,0.12438494265355632,5,6
57,251.96487493347524,146.92974986695052,2019.1436404733886,2.5405702259357295,0.020810543071242867,63.40046556036718,-24765.0,0.11153453108589483,5,10
56,248.03578360019407,513.163512857836,2952.9572772862543,2.541432506454129,0.029614231504402073,90.9814590527303,-32709.0,1.7670470776971452,5,3
55,232.11329661683715,216.3441384736428,2276.3274499216577,2.5784619010139225,0.033332553801099576,69.8479705326079,-26917.0,0.1494695277505878,5,2
54,124.82445866811929,1038.9448454310227,2630.223833953538,2.4959179529564888,0.029671584225741794,85.96673296320974,-30228.0,0.31354803924922703,5,1
53,110.98080779146376,373.2152678315669,2500.915539788043,2.53689475625158,0.04492086839925917,79.519227990969,-29782.0,0.2731568355333368,5,0
58,490.8252702007205,1051.862712300566,2783.889369125275,2.5653326390842177,0.030191129834621456,86.68312240456981,-29225.0,0.23530145202615416,5,4
73,677.9522693997071,517.8323572474378,2426.305976103118,2.5870213288226496,0.0362932050796607,72.46946107247966,-28498.0,0.0,6,9
72,616.7467315716273,511.978859527121,2554.1932603486703,2.564738963854236,0.02852299928088072,78.15334037228199,-29747.0,0.0,6,8
71,553.3393101092896,282.5565232240437,2080.2998237276515,2.5756982182459596,0.033627849711230944,65.36461194772676,-26526.0,0.0,6,7
70,537.6259867382381,1177.0993053362804,2250.105717809246,2.556096249978426,0.031916658648181356,71.75897616000437,-25690.0,0.0,6,6
69,531.6416552197802,1246.7565247252746,2068.932065128047,2.5617712043226466,0.024490729794742122,65.7198544039644,-23506.0,0.0,6,5
68,490.5102771515714,1051.8838350351411,2678.883362488084,2.609439882769905,0.036780081540924874,80.99528002218315,-29393.0,0.0,6,4
66,231.74569306148254,215.8575944365418,2247.6190206155825,2.565900817432279,0.0181504128630591,68.9170365101032,-26982.0,0.0,6,2
65,124.80942788074134,1038.778135911899,2645.1353291455075,2.5222885037732006,0.035552269993873134,84.19246212832196,-30209.0,0.0,6,1
64,110.91652298850575,373.08117816091954,2472.487495414012,2.5461826283696727,0.030166493664176588,76.02188563485612,-29772.0,0.0,6,0
67,247.7357964869776,513.0244700181709,2932.526476241763,2.5455986885646937,0.039016874330364174,90.23158388436194,-32723.0,0.0,6,3
81,537.5646312450436,1177.0098334655036,2222.6955179870033,2.5889412837409442,0.02575787583992369,69.09568937754999,-25663.0,0.019823663751696176,7,6
84,677.8844661589309,517.7325765196149,2453.249501930461,2.5924769847047044,0.03161062236542549,73.67856673422422,-28474.0,0.028392351531808878,7,9
83,616.6960382513661,511.8642076502732,2580.51248083503,2.5768250469142004,0.030161762459567844,78.26144409089845,-29665.0,0.034757882271963116,7,8
82,553.2196434577868,282.45526404305417,2096.1375971373072,2.566996671967397,0.04576131894527632,68.03810229524055,-26508.0,0.021801524349763683,7,7
79,490.1375474083439,1051.578381795196,2788.504607022553,2.5763928762602375,0.04061146952896066,87.42719880424691,-29233.0,0.03214389347595179,7,4
80,531.5796024200519,1246.724286949006,2039.3804237200338,2.6391769493062323,0.014343425548062515,62.045108828820396,-23478.0,0.01605692198180195,7,5
77,247.20119062082372,512.506013850079,2901.666424829663,2.575503036523785,0.03795008723104779,89.89490199630228,-32735.0,0.08234699970977191,7,3
76,231.77332089552237,215.88106343283582,2267.466704471436,2.57623201459706,0.021515431000106285,68.39063132267702,-26956.0,0.023019175327939668,7,2
75,124.52858103564223,1038.5689307330194,2621.0533189902253,2.600993033682384,0.04433323867655855,84.2544375573186,-30282.0,0.03932539483504309,7,1
74,110.89601926618501,373.0631817537895,2488.5024046741087,2.527424308756332,0.03845577068690082,79.31903117320789,-29768.0,0.0354451331956109,7,0
78,251.91943957968476,146.73292469352015,2012.940746662298,2.549990556625487,0.022602511338654034,62.39763785625687,-24760.0,0.018071649426140698,7,10
90,490.1240071739687,1051.5025621316936,2765.846057570834,2.585385323074225,0.045696229624777894,88.22644995325874,-29312.0,0.02369168927519926,8,4
95,677.9469281799827,517.7499278915489,2456.876321188338,2.590891725019764,0.030377310930477974,73.6992031738065,-28431.0,0.0209621320419186,8,9
94,616.6771405049396,511.8846048298573,2582.3066958206814,2.5759591054290882,0.02768353007413231,78.30540337216941,-29697.0,0.025121180933134275,8,8
93,553.2733003918896,282.4775941386948,2079.5222280147614,2.5694643164291318,0.04492311844355836,67.32138751453478,-26541.0,0.01680786336068106,8,7
92,537.5281488549618,1176.9980916030534,2227.9836036389197,2.5759148181038958,0.034678418323505364,70.8646184363524,-25681.0,0.015417554564687512,8,6
91,531.595552466991,1246.7724113968034,2039.4837185982221,2.61862416065919,0.01122609471523128,63.4238335005354,-23512.0,0.012756309291739732,8,5
88,247.25920939909435,512.4821931220168,2895.1739862171776,2.584018362845493,0.04345424246282747,90.35238850634931,-32743.0,0.04806681998864797,8,3
87,231.73237003298257,215.89822522381027,2255.9751279212787,2.5845829656502635,0.015035547517102753,67.67571060671655,-26931.0,0.017524514726258707,8,2
86,124.53926630434782,1038.5716032608696,2607.8179584577683,2.598285387812844,0.048849420380310045,84.32889593925935,-30281.0,0.02765202030398551,8,1
85,110.84256104486087,372.9917660420216,2495.851861328332,2.5322732322726798,0.035139851418833065,78.30540337216941,-29779.0,0.025448217326815133,8,0
89,251.8595288326301,146.70587201125176,2015.3897483298622,2.552473222176812,0.02696236325016898,62.36086422399011,-24767.0,0.014171697076965655,8,10
103,537.5061767500791,1177.0532150776053,2219.186883534012,2.5791862005445645,0.031574695288441354,69.59122631291326,-25682.0,0.020858484510520883,9,6
104,553.2478268280212,282.4586671211863,2062.0794180700104,2.5724875464384422,0.043437336599282214,66.42798875323538,-26574.0,0.023011033006909494,9,7
100,251.87390389337074,146.68309365135042,2004.0867294759162,2.559293352137252,0.02818540124817792,62.56180951362909,-24852.0,0.019188292515486118,9,10
106,677.879632289572,517.6725079000287,2446.9399878308186,2.5872868864742413,0.02973846675057143,73.80887639248377,-28496.0,0.029590895753767395,9,9
105,616.6522277227723,511.8217821782178,2555.8959482197233,2.5781780776781154,0.02783343386537029,78.02652647205426,-29728.0,0.03623181377486937,9,8
102,531.5762711864406,1246.812521618817,2032.204396673053,2.6114719108838176,0.018014182181201696,62.9132803535933,-23519.0,0.017001877566420163,9,5
98,231.7670038910506,215.82536964980545,2258.200146770039,2.5894427987082667,0.01603926608913518,67.1309304331638,-26963.0,0.02409543344299214,9,2
99,247.2886258237735,512.479741274103,2879.9520626667236,2.5899488414291905,0.0437084815933561,88.92212251094472,-32748.0,0.08053861552418326,9,3
